sleeper_id,date,value
10214,2024-04-23,1089
10214,2024-04-24,1082
10214,2024-04-25,1067
10214,2024-04-26,1066
10214,2024-04-27,1051
10214,2024-04-28,1067
10214,2024-04-29,1097
10214,2024-04-30,1126
10214,2024-05-01,1123
10214,2024-05-02,1106
10214,2024-05-03,1096
10214,2024-05-04,1109
10214,2024-05-05,1047
10214,2024-05-06,1031
10214,2024-05-07,1113
10214,2024-05-08,1112
10214,2024-05-09,1154
10214,2024-05-10,1167
10214,2024-05-11,1137
10214,2024-05-12,1120
10214,2024-05-13,1123
10214,2024-05-14,1164
10214,2024-05-15,1170
10214,2024-05-16,1143
10214,2024-05-17,1116
10214,2024-05-18,1078
10214,2024-05-19,1111
10214,2024-05-20,1063
10214,2024-05-21,1075
10214,2024-05-22,1083
10214,2024-05-23,1077
10214,2024-05-24,1135
10214,2024-05-25,1148
10214,2024-05-26,1166
10214,2024-05-27,1162
10214,2024-05-28,1168
10214,2024-05-29,1138
10214,2024-05-30,1066
10214,2024-05-31,1038
10214,2024-06-01,1041
10214,2024-06-02,1017
10214,2024-06-03,1012
10214,2024-06-04,1032
10214,2024-06-05,1077
10214,2024-06-06,1018
10214,2024-06-07,1045
10214,2024-06-08,1033
10214,2024-06-09,1040
10214,2024-06-10,1082
10214,2024-06-11,1049
10214,2024-06-12,1068
10214,2024-06-13,1046
10214,2024-06-14,1034
10214,2024-06-15,1027
10214,2024-06-16,1058
10214,2024-06-17,1044
10214,2024-06-19,1048
10214,2024-06-20,1064
10216,2023-06-26,1092
10216,2023-06-27,1094
10216,2023-06-28,1106
10216,2023-06-29,1118
10216,2023-06-30,1105
10216,2023-07-01,1127
10216,2023-07-02,1099
10216,2023-07-03,1112
10216,2023-07-04,1114
10216,2023-07-05,1121
10216,2023-07-06,1128
10216,2023-07-07,1110
10216,2023-07-08,1087
10216,2023-07-09,1084
10216,2023-07-10,1072
10216,2023-07-11,1064
10216,2023-07-12,1076
10216,2023-07-13,1068
10216,2023-07-14,1075
10216,2023-07-15,1072
10216,2023-07-16,1059
10216,2023-07-17,1065
10216,2023-07-18,1062
10216,2023-07-19,1044
10216,2023-07-20,1032
10216,2023-07-21,1024
10216,2023-07-22,1011
10216,2023-07-23,1019
10216,2023-07-24,1011
10216,2023-07-25,1008
10216,2023-07-26,951
10216,2023-07-27,953
10216,2023-07-28,955
10216,2023-07-29,957
10216,2023-07-30,939
10216,2023-07-31,931
10216,2023-08-01,944
10216,2023-08-02,991
10216,2023-08-03,1008
10216,2023-08-04,1030
10216,2023-08-05,1038
10216,2023-08-06,1041
10216,2023-08-07,1053
10216,2023-08-08,1046
10216,2023-08-09,1064
10216,2023-08-10,1066
10216,2023-08-11,1054
10216,2023-08-12,1046
10216,2023-08-13,1049
10216,2023-08-14,1042
10216,2023-08-15,1054
10216,2023-08-16,1057
10216,2023-08-17,1064
10216,2023-08-18,1051
10216,2023-08-19,1059
10216,2023-08-20,1066
10216,2023-08-21,1074
10216,2023-08-22,1077
10216,2023-08-23,1069
10216,2023-08-24,1067
10216,2023-08-25,1069
10216,2023-08-26,1061
10216,2023-08-27,1024
10216,2023-08-28,1026
10216,2023-08-29,1008
10216,2023-08-30,1031
10216,2023-08-31,1042
10216,2023-09-01,1008
10216,2023-09-02,998
10216,2023-09-03,1023
10216,2023-09-04,1038
10216,2023-09-05,1043
10216,2023-09-06,1014
10216,2023-09-07,1031
